time,nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y
26.39,279.0567626953125,143.88011169433594,308.48553466796875,173.19659423828125,272.758056640625,174.01498413085938,310.3642578125,147.99362182617188,252.55181884765625,152.77671813964844,282.77301025390625,97.90719604492188,257.9375305175781,108.9132080078125,311.83050537109375,264.77313232421875,291.340087890625,265.759033203125
26.81,291.223388671875,138.97332763671875,312.09002685546875,170.66905212402344,279.37921142578125,171.3582763671875,299.7020263671875,197.46180725097656,260.9251403808594,193.907958984375,261.5351867675781,176.26121520996094,247.33226013183594,174.1943359375,311.2996520996094,260.20648193359375,290.7194519042969,260.4674377441406
27.22,283.59765625,144.48446655273438,309.0849304199219,176.60057067871094,268.36395263671875,180.15493774414062,316.89923095703125,213.94366455078125,262.9414978027344,216.65591430664062,275.10772705078125,212.46038818359375,258.19964599609375,212.81687927246094,304.8460998535156,263.7823486328125,279.40771484375,264.0343017578125
27.62,266.95306396484375,142.47308349609375,313.12493896484375,171.76783752441406,257.74853515625,180.40257263183594,330.022216796875,206.83975219726562,247.3319854736328,221.2255401611328,289.23046875,196.45059204101562,254.31765747070312,206.68777465820312,311.04754638671875,268.52764892578125,275.91705322265625,270.2299499511719
28.01,271.91845703125,122.04315185546875,316.1225280761719,152.47706604003906,257.2613830566406,167.97024536132812,358.4803771972656,170.51214599609375,260.15948486328125,203.99172973632812,357.47979736328125,135.28868103027344,283.5484619140625,170.70098876953125,319.3234558105469,256.6886291503906,282.27801513671875,261.5610656738281
28.45,278.7921142578125,90.35516357421875,318.63470458984375,135.24099731445312,237.6450653076172,143.80447387695312,352.2451171875,179.44970703125,228.78611755371094,210.0417938232422,358.8984375,140.0436248779297,274.6924743652344,177.85018920898438,319.9766540527344,260.3644104003906,268.97943115234375,265.17816162109375
28.84,290.1782531738281,45.19468688964844,332.85516357421875,107.31311798095703,229.23165893554688,106.2934799194336,365.09881591796875,166.82757568359375,201.42245483398438,179.11166381835938,377.34710693359375,139.30039978027344,246.12786865234375,164.911865234375,329.0664978027344,259.85968017578125,261.7685241699219,263.10546875
29.21,333.29052734375,12.11285400390625,377.6324157714844,80.18408203125,269.8030090332031,86.12384033203125,384.7314147949219,164.5097198486328,237.82205200195312,173.10662841796875,328.8807067871094,159.46923828125,277.7367248535156,151.67652893066406,369.6072998046875,265.2191467285156,295.7019958496094,268.30218505859375
29.66,384.8934326171875,0.2733154296875,442.6707763671875,79.20393371582031,303.70806884765625,64.13845825195312,450.5116271972656,187.6190185546875,241.54644775390625,175.98532104492188,408.2605285644531,219.43658447265625,291.870849609375,266.9243469238281,401.5791931152344,277.0242004394531,311.8818359375,271.13970947265625
30.06,441.6796875,0.0,480.2126159667969,75.54899597167969,306.26348876953125,71.48326110839844,521.9882202148438,166.720947265625,254.66162109375,233.4065399169922,517.490966796875,163.64126586914062,324.32855224609375,418.15875244140625,423.9791564941406,368.97808837890625,310.09930419921875,371.83782958984375
30.45,455.4059753417969,0.5699310302734375,470.35321044921875,78.77603149414062,324.95458984375,67.5361328125,495.8123779296875,184.1371612548828,282.80853271484375,227.14671325683594,485.07830810546875,170.62770080566406,350.5673522949219,380.4874267578125,416.2135925292969,322.6285095214844,322.3226623535156,323.5177917480469
