time,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y
58.05,414.48443603515625,252.1304473876953,259.1174011230469,339.6983337402344,567.011962890625,182.09315490722656,373.0476379394531,168.1737060546875
58.64,561.1254272460938,238.02828979492188,344.1130065917969,309.8559875488281,588.365966796875,274.1368408203125,222.4301300048828,277.06378173828125
59.13,415.4684143066406,376.0049743652344,344.0185241699219,395.4371337890625,539.701416015625,400.37762451171875,275.9061279296875,401.89129638671875
59.54,516.4698486328125,400.4997863769531,277.8132629394531,431.68536376953125,551.7396850585938,382.0553283691406,269.84893798828125,403.3377990722656
59.98,494.8651123046875,413.4549255371094,246.34130859375,438.2742919921875,552.6853637695312,362.5079650878906,264.2541809082031,385.2478332519531
60.38,549.8362426757812,427.0978088378906,238.89193725585938,437.6058044433594,563.5797729492188,338.3721618652344,262.7005920410156,352.76397705078125
60.78,525.7959594726562,416.53424072265625,168.85238647460938,427.5496520996094,552.2769775390625,298.11077880859375,257.0040588378906,332.7958068847656
61.24,553.1215209960938,423.9634704589844,223.57521057128906,422.8576354980469,584.2342529296875,338.5411071777344,252.90858459472656,359.73193359375
61.64,546.47021484375,420.69921875,283.53448486328125,432.55706787109375,592.0471801757812,371.0381774902344,286.506591796875,396.30975341796875
62.01,578.903564453125,369.6439514160156,190.64865112304688,385.4985046386719,531.2608642578125,388.6662292480469,257.159912109375,371.0081481933594
62.39,566.6860961914062,397.0977478027344,133.66969299316406,457.8543395996094,532.612548828125,330.35467529296875,208.22695922851562,307.556884765625
62.78,525.6146240234375,356.91033935546875,140.07284545898438,382.65985107421875,495.57708740234375,368.23040771484375,211.86178588867188,347.38934326171875
63.27,529.1556396484375,331.0624084472656,130.2537841796875,430.7013244628906,493.6137390136719,378.6909484863281,242.67572021484375,372.3658752441406
63.7,520.456298828125,307.2559814453125,145.49327087402344,461.60955810546875,490.9087829589844,355.54034423828125,235.60504150390625,352.8540954589844
64.54,542.23046875,332.3092041015625,138.2913055419922,447.3584289550781,492.1416320800781,356.3786315917969,239.01513671875,348.8333740234375
65.24,527.587646484375,300.59173583984375,124.30133056640625,440.3558044433594,492.46954345703125,348.1329040527344,239.15989685058594,352.053955078125
65.77,539.8193359375,335.5824279785156,135.55075073242188,460.39605712890625,493.7159729003906,353.375,238.64256286621094,346.75225830078125
66.19,527.3759155273438,317.5155334472656,130.59674072265625,449.86419677734375,487.3313903808594,360.829833984375,242.12942504882812,349.11126708984375
66.85,536.9329223632812,349.7721862792969,137.57415771484375,446.0227966308594,485.8919982910156,357.3575744628906,239.16188049316406,344.48345947265625
67.36,533.5558471679688,313.9335021972656,125.652099609375,446.6858825683594,491.90167236328125,349.7195129394531,244.37503051757812,348.13397216796875
67.75,543.2547607421875,403.3609619140625,130.217041015625,452.2338562011719,500.2974853515625,352.89605712890625,245.71112060546875,348.7989196777344
68.15,521.8724365234375,303.1551513671875,130.29180908203125,443.93511962890625,492.30084228515625,355.2626647949219,242.9451904296875,347.3949279785156
